ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 123746.000000 73.580307 8249.177450 8250.289216 -99.000000 -99.000000 1 1200 0.047209 84.5
2 123026.000000 73.531982 8201.151987 8202.314680 -99.000000 -99.000000 1 1200 0.045732 84.5
3 246867.000000 73.348076 16457.144226 16458.455774 -99.000000 -99.000000 1 1200 0.038597 84.5
4 123750.000000 72.586609 8249.099892 8250.900108 -99.000000 -99.000000 1 1200 0.037589 77.5
5 246868.000000 73.180344 16457.139617 16458.593717 -99.000000 -99.000000 1 1200 0.037169 81.1
6 2207068.000000 72.656433 147136.966558 147138.766775 -99.000000 -99.000000 1 1200 0.021470 77.5
7 217709.000000 73.515221 14513.351987 14514.514680 -99.000000 -99.000000 1 1200 0.020982 81.1
8 2207070.000000 72.945648 147137.183207 147138.816793 -99.000000 -99.000000 1 1200 0.020200 77.5
9 246869.000000 71.952858 16456.886926 16458.979741 -99.000000 -99.000000 1 1200 0.017831 76.7
10 2207069.000000 72.766739 147137.074058 147138.792609 -99.000000 -99.000000 1 1200 0.017190 77.5
11 274588.000000 71.599922 18304.757516 18306.975817 -99.000000 -99.000000 1 1200 0.017142 76.7
12 272789.000000 73.299713 18185.253438 18186.613228 -99.000000 -99.000000 1 1200 0.016668 81.1
13 246870.000000 72.024529 16456.970367 16459.029633 -99.000000 -99.000000 1 1200 0.016117 76.7
14 123028.000000 72.894218 8201.049874 8202.683460 -99.000000 -99.000000 1 1200 0.016028 81.1
15 272788.000000 72.812553 18185.028429 18186.704905 -99.000000 -99.000000 1 1200 0.016028 81.1
16 62547.000000 72.647621 4168.899892 4170.700108 -99.000000 -99.000000 1 1200 0.015400 81.1
17 123749.000000 73.126068 8249.183266 8250.683401 -99.000000 -99.000000 1 1200 0.015361 81.1
18 217710.000000 72.971947 14513.205055 14514.794945 -99.000000 -99.000000 1 1200 0.014172 77.5
19 2134708.000000 71.498894 142312.742917 142314.990416 -99.000000 -99.000000 1 1200 0.014001 76.7
20 265949.000000 71.703583 17728.839216 17731.027451 -99.000000 -99.000000 1 1200 0.013370 76.7
21 260188.000000 73.881439 17345.496992 17346.236342 -99.000000 -99.000000 1 1200 0.013164 84.5
22 272787.000000 72.487862 18184.860740 18186.739260 -99.000000 -99.000000 1 1200 0.013142 77.5
23 201148.000000 72.512054 13408.946771 13410.786563 -99.000000 -99.000000 1 1200 0.012957 77.5
24 2134709.000000 71.907555 142312.886926 142314.979741 -99.000000 -99.000000 1 1200 0.012699 76.7
25 201150.000000 73.347404 13409.344226 13410.655774 -99.000000 -99.000000 1 1200 0.012416 81.1
26 2168907.000000 72.009796 144592.770367 144594.829633 -99.000000 -99.000000 1 1200 0.012395 77.5
27 274587.000000 71.659096 18304.705883 18306.894117 -99.000000 -99.000000 1 1200 0.012341 76.7
28 201147.000000 72.590172 13408.899892 13410.700108 -99.000000 -99.000000 1 1200 0.012089 81.1
29 224550.000000 71.747871 14968.921350 14971.078650 -99.000000 -99.000000 1 1200 0.012047 76.7
30 2134707.000000 70.846519 142312.597685 142315.002315 -99.000000 -99.000000 1 1200 0.011829 75.6
31 276389.000000 73.034760 18425.160632 18426.706035 -99.000000 -99.000000 1 1200 0.011623 81.1
32 82349.000000 71.487846 5488.809584 5491.057083 -99.000000 -99.000000 1 1200 0.011268 76.7
33 260189.000000 72.398735 17344.975137 17346.891530 -99.000000 -99.000000 1 1200 0.011153 77.5
34 201149.000000 73.028801 13409.160632 13410.706035 -99.000000 -99.000000 1 1200 0.010009 81.1
35 59668.000000 71.778885 3976.788017 3978.945316 -99.000000 -99.000000 1 1200 0.009961 76.7
36 285390.000000 71.664459 19024.905883 19027.094117 -99.000000 -99.000000 1 1200 0.009903 76.7
37 45269.000000 70.864540 3016.731018 3019.135648 -99.000000 -99.000000 1 1200 0.009900 75.6
38 2168908.000000 72.742172 144593.007391 144594.725942 -99.000000 -99.000000 1 1200 0.009809 81.1
39 235709.000000 69.180862 15712.599247 15715.267420 -99.000000 -99.000000 1 1200 0.009552 75.9
40 52827.000000 71.701767 3520.705883 3522.894117 -99.000000 -99.000000 1 1200 0.009530 76.7
41 56790.000000 71.594391 3784.890849 3787.109151 -99.000000 -99.000000 1 1200 0.009295 75.6
42 71188.000000 71.045723 4744.688832 4747.044501 -99.000000 -99.000000 1 1200 0.009000 75.6
43 71187.000000 70.899071 4744.597685 4747.002315 -99.000000 -99.000000 1 1200 0.009000 75.6
44 82347.000000 71.847450 5488.737254 5490.862746 -99.000000 -99.000000 1 1200 0.008988 77.5
