ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 237053.000000 25.972116 13.550442 14.796423 8.270244 9.516224 1 1200 0.113834 82.1
2 274495.000000 34.047459 13.759061 15.111175 8.222158 9.574273 1 1200 0.023627 89.7
3 2040651.000000 21.117458 13.308947 14.509812 8.290188 9.491053 1 1200 0.021244 89.9
4 2584252.000000 23.949547 13.444492 14.670222 8.263112 9.488841 1 1200 0.019844 89.4
5 284931.000000 20.534166 13.292124 14.488190 8.311810 9.507876 1 1200 0.019485 87.7
6 48771.000000 20.966358 13.304621 14.504215 8.295785 9.495379 1 1200 0.017243 89.9
7 2100051.000000 21.273998 13.313227 14.515379 8.284621 9.486773 1 1200 0.016764 87.3
8 79733.000000 24.666866 13.526356 14.759184 8.307483 9.540311 1 1200 0.016676 81.6
9 79732.000000 24.347696 13.453056 14.682689 8.250644 9.480278 1 1200 0.016553 86.6
10 289251.000000 21.111107 13.308229 14.508882 8.291118 9.491771 1 1200 0.013892 89.9
11 2123812.000000 24.287260 13.451367 14.680212 8.253122 9.481966 1 1200 0.013801 86.6
12 227691.000000 19.658455 13.266855 14.456382 8.343618 9.533145 1 1200 0.013439 85.2
13 2598653.000000 26.374685 13.557483 14.807881 8.258786 9.509184 1 1200 0.013257 86.5
14 246057.000000 33.564636 13.891736 15.236202 8.363798 9.708264 1 1200 0.012964 84.4
15 46610.000000 18.694086 13.169467 14.351953 8.314713 9.497199 1 1200 0.012463 87.9
16 207171.000000 20.957726 13.304621 14.504215 8.295785 9.495379 1 1200 0.012256 89.9
17 205009.000000 15.631359 12.992810 14.155974 8.377359 9.540523 1 1200 0.012052 87.9
18 258290.000000 17.630821 13.133530 14.308817 8.357849 9.533137 1 1200 0.011842 87.7
19 2658773.000000 26.683023 13.562444 14.816151 8.250516 9.504223 1 1200 0.011548 88.9
20 223733.000000 27.283754 13.571845 14.832351 8.234316 9.494822 1 1200 0.011429 86.7
21 302572.000000 22.867775 13.420201 14.636000 8.297333 9.513132 1 1200 0.011283 84.5
22 2144691.000000 21.369350 13.315351 14.518150 8.281850 9.484649 1 1200 0.010887 87.3
23 2598654.000000 29.613628 13.667826 14.956606 8.243394 9.532174 1 1200 0.010858 86.0
24 224453.000000 27.236217 13.571019 14.830897 8.235770 9.495647 1 1200 0.010667 88.9
25 221213.000000 25.414167 13.540565 14.780823 8.285844 9.526102 1 1200 0.010566 84.0
26 212572.000000 23.105711 13.425849 14.643823 8.289510 9.507484 1 1200 0.010325 87.1
27 232733.000000 26.142586 13.553767 14.801796 8.264871 9.512899 1 1200 0.010298 86.5
28 1070094.000000 28.950047 13.660539 14.940854 8.259146 9.539461 1 1200 0.010126 88.6
29 2623493.000000 23.580999 13.502896 14.725072 8.341595 9.563771 1 1200 0.010060 79.5
30 205372.000000 23.152399 13.426470 14.644688 8.288646 9.506863 1 1200 0.009941 87.1
