ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 29.087328 5.628824 27.110686 28.236107 23.642203 24.767625 1 1200 0.067069 58.7
2 27.093586 11.521566 27.345963 28.489056 23.123423 24.266515 1 1200 0.046130 56.1
3 38.701832 -7.683412 26.063680 27.096565 -99.000000 -99.000000 1 1200 0.032731 3.0
4 33.409714 -0.717296 26.750675 27.870764 24.583864 25.703954 1 1200 0.031756 18.8
5 27.222773 10.521600 27.301465 28.440655 23.189048 24.328238 1 1200 0.025784 54.4
6 31.020563 2.786810 26.998401 28.119725 24.016350 25.137674 1 1200 0.025345 42.3
7 33.639912 -0.766745 26.759068 27.879170 24.606152 25.726253 1 1200 0.023020 15.3
8 37.678497 -2.939004 26.630838 27.752317 25.271483 26.392961 1 1200 0.017915 73.9
9 27.904417 8.256587 27.213851 28.345597 23.374992 24.506738 1 1200 0.017228 60.0
10 40.066971 -8.776975 26.191242 27.151021 -99.000000 -99.000000 1 1200 0.017111 15.9
11 30.771826 2.614285 26.966136 28.087310 24.015600 25.136774 1 1200 0.016869 50.6
12 27.960539 6.296877 27.085037 28.211833 23.516239 24.643035 1 1200 0.015481 72.0
13 31.971088 2.167637 27.001762 28.122569 24.140243 25.261050 1 1200 0.015361 25.0
14 31.892147 2.115408 26.990118 28.110879 24.141408 25.262168 1 1200 0.013361 27.1
15 28.841700 6.611690 27.167411 28.294946 23.550614 24.678149 1 1200 0.013048 50.7
16 26.233719 10.423072 27.230709 28.369573 23.128256 24.267121 1 1200 0.012958 76.1
17 32.806919 -1.485583 26.592789 27.713167 24.661089 25.781467 1 1200 0.012891 58.6
18 40.036644 -11.733829 26.400632 26.937588 -99.000000 -99.000000 1 1200 0.011629 60.4
19 32.020691 1.894362 26.976257 28.096868 24.172557 25.293169 1 1200 0.011626 25.5
20 31.906319 2.180688 26.999038 28.119856 24.134320 25.255138 1 1200 0.011528 25.4
21 27.218527 10.589932 27.304787 28.444222 23.184915 24.324350 1 1200 0.011361 54.4
22 26.317835 10.649489 27.248336 28.388019 23.121026 24.260709 1 1200 0.011116 67.3
23 39.523422 -8.369215 26.141687 27.128102 -99.000000 -99.000000 1 1200 0.011099 7.3
24 29.340313 5.610033 27.126122 28.251507 23.660535 24.785920 1 1200 0.011099 49.2
25 33.993755 -0.713510 26.791348 27.911434 24.621067 25.741153 1 1200 0.010848 15.9
26 27.137753 12.613827 27.403271 28.551062 23.067305 24.215096 1 1200 0.010517 64.4
27 34.270004 1.244174 27.056400 28.176665 24.392669 25.512933 1 1200 0.010492 65.3
28 29.046219 6.744823 27.189323 28.317130 23.555700 24.683506 1 1200 0.010479 44.0
29 39.690170 -9.053499 26.180540 27.111483 -99.000000 -99.000000 1 1200 0.009958 1.3
30 40.555103 -9.538623 26.259086 27.148261 -99.000000 -99.000000 1 1200 0.009762 13.3
31 27.374420 12.509104 27.413497 28.560772 23.089150 24.236425 1 1200 0.009679 65.5
32 39.634022 -6.902112 26.107271 27.177265 -99.000000 -99.000000 1 1200 0.009481 53.5
33 32.784668 -0.654751 26.719417 27.839489 24.531800 25.651872 1 1200 0.009480 38.6
34 30.273312 6.523107 27.255929 28.383241 23.653200 24.780512 1 1200 0.009471 47.2
35 40.748318 -11.670918 26.440205 26.992904 -99.000000 -99.000000 1 1200 0.009336 18.4
36 41.033348 -9.452301 26.290969 27.180144 -99.000000 -99.000000 1 1200 0.009335 38.1
37 27.182375 10.507982 27.297569 28.436677 23.187640 24.326748 1 1200 0.009151 54.4
38 27.917599 8.300480 27.217341 28.349206 23.373140 24.505006 1 1200 0.009100 54.6
39 27.444588 11.701347 27.378589 28.522425 23.136853 24.280689 1 1200 0.009065 61.3
40 29.244684 6.036740 27.152400 28.278662 23.620629 24.746891 1 1200 0.008877 48.6
41 36.486111 -4.315900 25.901489 27.024680 25.840135 26.963326 1 1200 0.008872 10.8
42 31.653358 1.515695 26.911346 28.031737 24.188711 25.309102 1 1200 0.008854 39.0
43 26.371828 10.552833 27.245938 28.385209 23.131035 24.270306 1 1200 0.008802 67.4
44 38.382675 -7.767759 26.045954 27.071736 -99.000000 -99.000000 1 1200 0.008792 3.3
45 29.217066 5.774793 27.130739 28.256457 23.639151 24.764870 1 1200 0.008691 51.8
46 26.746456 13.125092 27.401297 28.551437 23.014757 24.164897 1 1200 0.008542 62.0
47 35.805180 -4.517169 25.825593 26.948431 -99.000000 -99.000000 1 1200 0.008492 13.4
48 25.937698 12.163655 27.300906 28.446670 23.011690 24.157454 1 1200 0.008472 63.3
49 37.046879 -5.838702 25.917566 27.022018 -99.000000 -99.000000 1 1200 0.008402 5.4
50 35.413475 -3.733062 26.244062 27.366450 25.355347 26.477735 1 1200 0.008086 11.2
51 40.639317 -9.467791 26.264701 27.153875 -99.000000 -99.000000 1 1200 0.008054 18.1
52 41.094177 -9.737584 26.306157 27.173066 -99.000000 -99.000000 1 1200 0.007997 27.2
53 27.308598 13.055245 27.435515 28.585328 23.055819 24.205631 1 1200 0.007924 70.0
54 31.855324 2.116090 26.987663 28.108424 24.138953 25.259713 1 1200 0.007839 27.1
55 29.722200 5.593880 27.151581 28.276966 23.685994 24.811379 1 1200 0.007767 41.2
56 36.019299 -2.856917 26.540547 27.661942 25.140632 26.262026 1 1200 0.007346 29.4
57 39.457668 -11.010317 26.286848 26.974174 -99.000000 -99.000000 1 1200 0.007177 57.9
58 41.105171 -9.736472 26.306890 27.173799 -99.000000 -99.000000 1 1200 0.007075 27.2
59 40.716560 -9.933143 26.292562 27.136313 -99.000000 -99.000000 1 1200 0.007062 7.8
60 26.711559 11.401514 27.313532 28.456077 23.105464 24.248009 1 1200 0.006918 58.1
61 29.283808 4.564798 27.040906 28.164485 23.740023 24.863602 1 1200 0.006717 65.0
62 30.793039 5.657077 27.227256 28.352751 23.752988 24.878482 1 1200 0.006666 47.8
63 37.368881 -5.848518 25.939033 27.043485 -99.000000 -99.000000 1 1200 0.006650 5.9
64 39.953083 -10.605499 26.285546 27.041531 -99.000000 -99.000000 1 1200 0.006649 19.4
65 28.836900 8.676260 27.301958 28.434933 23.409987 24.542962 1 1200 0.006259 48.6
66 38.381889 -7.344148 26.032478 27.085107 -99.000000 -99.000000 1 1200 0.006065 3.7
67 39.587048 -11.246832 26.317166 26.961107 -99.000000 -99.000000 1 1200 0.005990 53.6
68 27.250113 13.211250 27.438123 28.588593 23.044755 24.195225 1 1200 0.005803 69.2
69 40.279747 -9.571104 26.246239 27.124394 -99.000000 -99.000000 1 1200 0.005615 4.8
70 29.099800 5.626760 27.111517 28.236939 23.643035 24.768456 1 1200 0.005492 58.7
71 40.121346 -11.277538 26.360189 26.989324 -99.000000 -99.000000 1 1200 0.005491 39.3
72 26.905039 11.343893 27.324102 28.466466 23.120873 24.263237 1 1200 0.005484 56.2
73 40.598202 -9.362237 26.256564 27.156529 -99.000000 -99.000000 1 1200 0.005301 17.0
74 31.907429 2.190410 26.999112 28.119930 24.134394 25.255212 1 1200 0.005298 25.4
75 40.749413 -8.289530 26.219230 27.214026 -99.000000 -99.000000 1 1200 0.005107 57.9
76 31.405407 6.771981 27.349354 28.477253 23.710135 24.838033 1 1200 0.004980 71.5
77 40.208580 -7.975829 26.175172 27.185972 -99.000000 -99.000000 1 1200 0.004895 46.1
78 183.062103 56.177395 37.485950 39.502035 32.906246 34.922331 1 1200 0.004822 77.2
79 33.476330 0.448155 26.910579 28.030614 24.432897 25.552931 1 1200 0.004802 24.7
80 27.285746 13.059856 27.433992 28.583804 23.054295 24.204107 1 1200 0.004760 67.0
81 183.372177 50.741467 37.926267 39.698568 32.751056 34.523357 1 1200 0.004752 81.3
82 26.478659 9.822936 27.212852 28.349545 23.180943 24.317636 1 1200 0.004732 69.7
83 40.555244 -8.492233 26.214791 27.192575 -99.000000 -99.000000 1 1200 0.004671 49.5
84 28.815889 10.013639 27.379741 28.517113 23.325006 24.462378 1 1200 0.004664 64.7
85 39.773994 -6.946842 26.116602 27.186597 -99.000000 -99.000000 1 1200 0.004611 55.1
86 35.765446 -1.748839 26.745465 27.865989 24.902738 26.023261 1 1200 0.004580 48.6
87 28.670800 6.034920 27.114141 28.240404 23.582370 24.708632 1 1200 0.004578 63.8
88 32.853962 1.266429 26.965275 28.085552 24.294976 25.415254 1 1200 0.004561 24.6
89 29.079563 5.652130 27.113024 28.238519 23.638756 24.764251 1 1200 0.004511 58.7
90 39.460094 -11.507261 26.338803 26.922543 -99.000000 -99.000000 1 1200 0.004476 74.8
91 30.765800 4.241280 27.112952 28.236044 23.866063 24.989155 1 1200 0.004418 33.6
92 183.591690 56.011406 37.538440 39.545582 32.933310 34.940452 1 1200 0.004263 77.9
93 40.105045 -5.440338 26.116109 27.231230 -99.000000 -99.000000 1 1200 0.004207 82.6
94 32.776611 -0.655307 26.718880 27.838952 24.531263 25.651335 1 1200 0.004147 38.6
95 34.921581 -0.255740 26.917031 28.037042 24.619169 25.739180 1 1200 0.004086 58.3
96 33.507675 -0.977272 26.718845 27.839010 24.628680 25.748845 1 1200 0.004080 18.3
97 40.808014 -8.125045 26.219072 27.221997 -99.000000 -99.000000 1 1200 0.004072 57.9
98 29.153465 5.804111 27.129341 28.255135 23.631993 24.757788 1 1200 0.004037 51.8
99 38.904346 -9.947675 26.171747 27.015499 -99.000000 -99.000000 1 1200 0.004002 46.7
100 36.479687 -4.595622 25.870560 26.993398 -99.000000 -99.000000 1 1200 0.003994 7.4
