index RAJ2000 DEJ2000 exptime Nvis LogProb contour
0 266.697083 59.245708 1200.0 1.0 -14.541706212910553 8.21780608372425
1 266.236115 55.704632 1200.0 1.0 -15.096178597222838 25.268523599406727
2 270.324127 39.707851 1200.0 1.0 -15.12718154426524 3.0333111496859426
3 269.354919 50.727993 1200.0 1.0 -15.174895177172084 1.2618488245677901
4 269.271149 47.741348 1200.0 1.0 -15.206765352945975 0.10877462032592464
5 265.046143 62.641842 1200.0 1.0 -15.362488768986477 17.945107197981
6 271.469849 34.017143 1200.0 1.0 -15.373297191881246 23.793224505492766
7 269.71579 34.005867 1200.0 1.0 -15.403660970328273 36.96391552901971
8 266.448334 60.89743 1200.0 1.0 -15.411595449206365 9.782780583157246
9 269.014832 49.028442 1200.0 1.0 -15.418660090026277 0.25774931598323475
10 266.770935 54.881851 1200.0 1.0 -15.421046717750407 16.483649632306026
11 270.078979 34.639816 1200.0 1.0 -15.506413149551333 18.00456416269142
12 267.33725 62.222809 1200.0 1.0 -15.564991166862075 23.069175730211253
13 266.887054 64.027596 1200.0 1.0 -15.566715796537514 32.95740720297798
14 267.15979 51.157242 1200.0 1.0 -15.573751408639755 30.22943478459498
15 266.901001 59.413578 1200.0 1.0 -15.638816538882642 7.36341090044345
16 265.720398 66.476067 1200.0 1.0 -15.646326081112294 27.775962091010115
17 271.535614 23.465588 1200.0 1.0 -15.663950769146943 36.76721524486475
18 266.819519 61.308926 1200.0 1.0 -15.669786870700925 13.690258957246856
19 261.968842 68.409813 1200.0 1.0 -15.68093810883628 25.817086282652703
20 265.291016 66.679253 1200.0 1.0 -15.703799332287478 28.76659237003673
21 264.125 68.058678 1200.0 1.0 -15.707950586046907 29.184379195079778
22 266.206024 55.349648 1200.0 1.0 -15.740059844781804 25.893403893799157
23 266.491119 57.257206 1200.0 1.0 -15.743899609504359 13.412178323485977
24 266.772888 57.301018 1200.0 1.0 -15.75568090260097 9.557772556689734
25 270.182068 35.013729 1200.0 1.0 -15.801871308151483 16.022399395039336
26 266.111755 55.827988 1200.0 1.0 -15.831736028340268 24.72213607018227
27 271.439575 34.75135 1200.0 1.0 -15.839850884738572 24.033559886365243
28 262.592285 67.322601 1200.0 1.0 -15.844536295799434 25.67993122533122
29 264.023804 68.155922 1200.0 1.0 -15.84889218206382 30.18683666262242
30 265.218964 62.607586 1200.0 1.0 -15.854083450571016 14.220224572452118
31 264.690948 59.373177 1200.0 1.0 -15.86732765481909 33.18449616716096
32 271.162903 41.511276 1200.0 1.0 -15.875215115555784 26.39778263937672
33 269.433807 54.44878 1200.0 1.0 -15.905154639682353 18.269937962507164
34 269.213531 54.396339 1200.0 1.0 -15.930937849514498 12.016230519527506
35 270.29541 48.530663 1200.0 1.0 -15.94016930354362 15.41791038256281
36 270.737854 29.310764 1200.0 1.0 -15.946638656986261 23.322427862901797
37 266.803833 61.434185 1200.0 1.0 -15.986808751350816 13.959612439097526
38 267.171 58.40472 1200.0 1.0 -15.986993241626633 5.750160934911543
39 266.44635 55.776672 1200.0 1.0 -15.98915450617852 25.271192909809947
40 266.207 55.34964 1200.0 1.0 -16.029026115272792 25.893403893799157
41 267.42868 60.371742 1200.0 1.0 -16.036590096359134 12.683413886946543
42 270.843292 29.091635 1200.0 1.0 -16.0395716933394 24.22601746689954
43 271.308258 46.881535 1200.0 1.0 -16.04115069727682 44.45208392322232
44 268.025238 52.446606 1200.0 1.0 -16.045934488986024 3.1660059944054577
45 270.099304 28.78825 1200.0 1.0 -16.062998943404082 45.188184862225036
46 264.614471 61.039932 1200.0 1.0 -16.072907231295833 28.59065995527169
47 268.951874 62.612106 1200.0 1.0 -16.100883668329175 59.51303387639951
48 266.666626 58.634979 1200.0 1.0 -16.105818176784723 8.206463601416838
49 266.715637 59.205166 1200.0 1.0 -16.123947472141232 8.21780608372425
50 267.089813 54.14904 1200.0 1.0 -16.126842664269617 19.83599818053828
51 267.242126 55.153473 1200.0 1.0 -16.140053569634375 9.594743224227365
52 268.709686 62.645065 1200.0 1.0 -16.14148184122284 46.06692593898388
53 266.878174 59.914249 1200.0 1.0 -16.15462049758221 7.998043026921595
54 267.96994 49.544395 1200.0 1.0 -16.183804247562556 15.238576209000824
55 264.050446 69.988983 1200.0 1.0 -16.20002917959389 37.867581286160046
56 270.048981 34.499924 1200.0 1.0 -16.201101088438673 23.925954050114964
57 267.203674 55.099606 1200.0 1.0 -16.245290705983827 9.594743224227365
58 269.811249 45.887081 1200.0 1.0 -16.24704108868368 1.1434187807536251
59 270.112671 48.396519 1200.0 1.0 -16.25288798082717 9.716498876202566
60 265.72 66.47606 1200.0 1.0 -16.271238150249186 27.775962091010115
61 266.203552 61.910526 1200.0 1.0 -16.27866665192014 11.867696461932061
62 270.758911 29.373814 1200.0 1.0 -16.279600068436576 24.792509677960105
63 269.873901 43.391922 1200.0 1.0 -16.281236289939848 0.9141075768493524
64 271.456299 18.537977 1200.0 1.0 -16.283873858484675 47.485286576539906
65 268.832062 51.574429 1200.0 1.0 -16.29133769961068 0.603055566841489
66 267.825043 59.470825 1200.0 1.0 -16.295034477322417 18.867493641748545
67 270.703461 29.307156 1200.0 1.0 -16.300575312016125 25.780198541934883
68 269.925476 52.378021 1200.0 1.0 -16.30657527732901 16.077052197341025
69 272.164734 28.060219 1200.0 1.0 -16.329019120445025 44.13563576810611
70 263.167206 68.705429 1200.0 1.0 -16.358562027896348 26.625635997057838
71 261.09787 72.157623 1200.0 1.0 -16.366057753639367 36.21528607562251
72 267.719818 47.197353 1200.0 1.0 -16.366315647799638 34.50419340337913
73 264.067749 68.052307 1200.0 1.0 -16.4004667325274 29.184379195079778
74 267.505768 60.092285 1200.0 1.0 -16.406639493178716 14.8661938518357
75 262.620789 65.535423 1200.0 1.0 -16.421171333608378 26.86733071563815
76 264.155518 63.583866 1200.0 1.0 -16.436414784939238 23.347664296124155
77 263.837036 68.098885 1200.0 1.0 -16.443892601820092 24.803325538664307
78 265.607422 55.807362 1200.0 1.0 -16.444678240715312 35.10153886595667
