ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 200.213000 43.965420 39.323407 40.880699 33.814367 35.371660 1 1200 0.022038 0.4
2 269.873901 43.391922 43.981902 21.524460 38.458726 40.001285 1 1200 0.019644 0.0
3 270.705000 29.307560 20.111596 21.396457 38.697543 39.982404 1 1200 0.016279 0.2
4 269.726471 44.824245 43.933916 21.514075 38.449455 40.029613 1 1200 0.016108 0.0
5 271.335693 23.129911 20.048850 21.267067 38.911025 40.129243 1 1200 0.015861 0.2
6 269.014832 49.028442 43.725694 21.435867 38.432777 40.142950 1 1200 0.015127 0.0
7 270.078979 34.639816 20.097749 21.459582 38.550948 39.912781 1 1200 0.014562 0.1
8 266.492371 57.384426 42.915359 20.998172 38.534144 40.616957 1 1200 0.014087 0.1
9 268.786926 45.234695 43.858460 21.450404 38.387853 39.979797 1 1200 0.014086 0.1
10 272.739000 31.115630 20.263310 21.571942 38.793258 40.101890 1 1200 0.014032 0.3
11 268.755157 45.089123 43.860687 21.448677 38.385344 39.973333 1 1200 0.013543 0.1
12 261.968842 68.409813 40.097978 42.831201 -99.000000 -99.000000 1 1200 0.013499 0.2
13 263.167000 68.705210 40.189696 42.899237 -99.000000 -99.000000 1 1200 0.013472 0.2
14 262.594000 71.331200 40.368350 42.644183 -99.000000 -99.000000 1 1200 0.013368 0.2
15 268.793304 58.824707 42.886373 21.054929 38.784178 40.952735 1 1200 0.013231 0.2
16 266.772888 57.301018 42.944939 21.022424 38.547295 40.624779 1 1200 0.013068 0.1
17 268.165070 52.655979 43.457634 21.306946 38.448396 40.297709 1 1200 0.013046 0.0
18 267.420746 53.565041 43.341178 21.230267 38.425832 40.314922 1 1200 0.013020 0.1
19 265.218964 62.607586 41.944962 20.387957 38.974572 41.417566 1 1200 0.012521 0.1
20 273.003000 21.465070 20.118364 21.322034 39.078366 40.282036 1 1200 0.012329 0.3
21 269.433807 54.448780 43.405291 21.334475 38.590033 40.519216 1 1200 0.012246 0.1
22 268.547424 46.931660 43.784504 21.426026 38.380298 40.021819 1 1200 0.012023 0.1
23 272.050000 11.712160 43.685617 20.829453 39.443880 40.587717 1 1200 0.012020 0.3
24 270.516000 29.105840 20.096844 21.379245 38.689555 39.971956 1 1200 0.011519 0.2
25 270.099304 28.788250 20.065199 21.343447 38.669793 39.948041 1 1200 0.011435 0.3
26 267.990295 50.947449 43.554994 21.335532 38.396507 40.177046 1 1200 0.011229 0.1
27 266.878174 59.914249 42.595531 20.835437 38.748319 40.988226 1 1200 0.011225 0.1
28 266.666626 58.634979 42.768918 20.926416 38.629134 40.786632 1 1200 0.011224 0.1
29 270.112671 48.396519 43.828162 21.516847 38.498176 40.186860 1 1200 0.010756 0.1
30 268.823975 49.904705 43.669122 21.410248 38.432949 40.174074 1 1200 0.010651 0.0
31 266.546570 55.266674 43.139710 21.109149 38.430393 40.399832 1 1200 0.010588 0.2
32 270.758911 29.373814 20.115791 21.401360 38.699828 39.985397 1 1200 0.010408 0.2
33 269.925476 52.378021 43.594921 21.432049 38.558015 40.395143 1 1200 0.010287 0.1
34 273.029000 25.595180 20.212685 21.454924 38.948942 40.191181 1 1200 0.010285 0.3
35 264.734009 59.349834 42.540718 20.742690 38.555178 40.757150 1 1200 0.010263 0.2
36 271.150360 21.637962 43.999038 21.204024 38.949358 40.154343 1 1200 0.010163 0.2
37 261.097870 72.157623 40.394101 42.418949 -99.000000 -99.000000 1 1200 0.010025 0.2
38 270.205231 38.727589 20.084085 21.520658 38.506706 39.943279 1 1200 0.009996 0.0
39 262.595123 71.330658 40.368425 42.644258 -99.000000 -99.000000 1 1200 0.009951 0.2
40 271.401764 27.287422 20.131963 21.392469 38.794433 40.054939 1 1200 0.009786 0.2
41 264.155518 63.583866 41.602506 20.128911 39.091825 41.618229 1 1200 0.009723 0.1
42 268.308746 42.786999 43.891563 21.419080 38.355419 39.882936 1 1200 0.009705 0.2
43 271.617035 23.715860 20.080346 21.303781 38.911824 40.135259 1 1200 0.009652 0.2
44 269.600311 57.072048 43.160271 21.224503 38.722205 40.786437 1 1200 0.009597 0.2
45 266.054596 67.593056 40.354248 43.119698 -99.000000 -99.000000 1 1200 0.009550 0.2
46 269.350616 50.680767 43.661245 21.431499 38.481917 40.252171 1 1200 0.009517 0.0
47 271.022000 27.322780 20.107056 21.367876 38.768390 40.029211 1 1200 0.009429 0.2
48 263.660980 67.035263 40.192378 42.962419 -99.000000 -99.000000 1 1200 0.009352 0.1
49 273.023000 29.153790 20.264289 21.547040 38.856026 40.138778 1 1200 0.009326 0.3
50 266.149017 51.611588 43.393298 21.199027 38.287508 40.093237 1 1200 0.009237 0.3
51 176.574000 33.204490 37.862562 39.201745 32.341455 33.680638 1 1200 0.009032 0.5
52 267.876556 54.440796 43.301475 21.230658 38.486216 40.415400 1 1200 0.009009 0.0
53 268.487915 51.607536 43.549225 21.354954 38.443435 40.249164 1 1200 0.008999 0.0
54 262.014648 70.719521 40.253720 42.681566 -99.000000 -99.000000 1 1200 0.008956 0.2
55 271.437000 33.830190 20.187986 21.536928 38.654672 40.003614 1 1200 0.008930 0.1
56 270.527100 26.601389 20.062915 21.315713 38.754567 40.007365 1 1200 0.008837 0.2
57 270.767761 45.256367 43.989637 21.582376 38.519992 40.112731 1 1200 0.008836 0.2
58 269.199066 55.823002 43.262542 21.260795 38.632414 40.630666 1 1200 0.008829 0.1
59 266.509000 59.323280 42.662239 20.862812 38.671721 40.872294 1 1200 0.008719 0.1
60 264.501343 69.974274 40.349769 42.917076 -99.000000 -99.000000 1 1200 0.008660 0.3
61 273.133000 21.421040 20.125627 21.328860 39.088873 40.292107 1 1200 0.008659 0.3
62 271.298000 34.704450 20.178984 21.541758 38.631308 39.994083 1 1200 0.008525 0.1
63 269.200000 55.823100 43.262605 21.260857 38.632476 40.630729 1 1200 0.008477 0.1
64 266.712708 59.298222 42.679003 20.878177 38.683517 40.882692 1 1200 0.008464 0.1
65 266.814850 63.032257 41.939033 20.418062 39.157251 41.636280 1 1200 0.008423 0.1
66 263.998474 67.751755 40.218528 42.981269 -99.000000 -99.000000 1 1200 0.008417 0.1
67 272.141022 25.724941 20.155468 21.398850 38.886620 40.130002 1 1200 0.008364 0.3
68 263.259613 68.280716 40.180758 42.920524 -99.000000 -99.000000 1 1200 0.008360 0.2
69 265.725128 58.792160 42.684887 20.852059 38.577959 40.745130 1 1200 0.008352 0.2
70 268.372162 62.606884 42.155176 20.598170 39.184785 41.627779 1 1200 0.008288 0.3
71 259.858459 72.465096 40.384638 42.263157 -99.000000 -99.000000 1 1200 0.008242 0.2
72 266.301300 55.660034 43.086063 21.075482 38.431358 40.420777 1 1200 0.008239 0.2
73 271.255000 20.039890 43.961404 21.153655 39.013678 40.205930 1 1200 0.008225 0.3
74 263.646606 70.468864 40.330189 42.822692 -99.000000 -99.000000 1 1200 0.008147 0.2
75 269.855560 56.835934 43.203615 21.254693 38.726048 40.777127 1 1200 0.008072 0.2
76 272.642000 21.219600 20.087939 21.289660 39.062607 40.264328 1 1200 0.008037 0.3
77 260.070770 72.254875 40.361347 42.314756 -99.000000 -99.000000 1 1200 0.007980 0.2
78 271.947418 24.039654 20.109390 21.335892 38.923763 40.150266 1 1200 0.007737 0.2
79 270.029000 44.494300 43.963076 21.534742 38.469124 40.040790 1 1200 0.007630 0.0
80 105.762000 49.423980 32.823442 34.547004 27.554596 29.278158 1 1200 0.007622 0.4
81 268.828430 61.606560 42.414802 20.777637 39.066154 41.428989 1 1200 0.007614 0.2
82 269.420959 27.834688 20.007845 21.274745 38.648050 39.914949 1 1200 0.007528 0.3
83 262.620789 65.535423 40.496391 43.212663 39.803443 42.519714 1 1200 0.007331 0.2
84 270.509796 55.594055 43.373716 21.359366 38.708606 40.694256 1 1200 0.007317 0.3
85 266.210083 61.495247 42.262973 20.617376 38.877302 41.231705 1 1200 0.007245 0.1
86 270.764771 28.995756 20.112164 21.393173 38.708797 39.989805 1 1200 0.007233 0.1
87 107.464760 58.770634 32.137249 34.303037 28.025597 30.191385 1 1200 0.007215 0.3
