index RAJ2000 DEJ2000 exptime Nvis LogProb contour
23 172.168 21.09713 1200.0 1.0 -3.4069545802094474 0.2817324143623638
24 173.891 24.96219 1200.0 1.0 -3.4152309428418928 0.28461671306490216
27 172.352 22.40042 1200.0 1.0 -3.4468351525246055 0.2806849568141197
31 172.464 24.93765 1200.0 1.0 -3.4935661787552257 0.3426856333249892
40 173.271 24.68798 1200.0 1.0 -3.57381599504146 0.2810348545123952
43 185.194 57.79272 1200.0 1.0 -3.6046333384841653 0.2516568626561133
53 182.205368 54.053036 1200.0 1.0 -3.7144457889990434 0.2777391573336709
57 185.098 55.73288 1200.0 1.0 -3.7660628931397437 0.2798656515339162
58 185.07 55.71811 1200.0 1.0 -3.7662861153353617 0.2798656515339162
59 170.396 18.45635 1200.0 1.0 -3.766479176288597 0.33481118840822466
61 173.663956 28.619743 1200.0 1.0 -3.776454351422945 0.32537811475982403
68 184.552 55.60628 1200.0 1.0 -3.8525544954150788 0.255271865313049
73 169.463 11.88584 1200.0 1.0 -3.9036568623150716 0.34547768559006464
76 174.31398 30.160498 1200.0 1.0 -3.985711302347398 0.3249564980673599
77 171.567 21.08828 1200.0 1.0 -3.9882273460136166 0.29293124280241084
78 170.399 18.45847 1200.0 1.0 -3.9979530317888337 0.33481118840822466
88 175.163498 28.863894 1200.0 1.0 -4.066258050670505 0.2903204732792609
90 194.41098 70.275139 1200.0 1.0 -4.080319021063697 0.22905746953803077
91 186.683 56.07062 1200.0 1.0 -4.082232425632176 0.32453385352424857
96 185.47 56.04355 1200.0 1.0 -4.121713990040476 0.2670365957136508
97 171.579 18.83549 1200.0 1.0 -4.129282215781461 0.3161171382684554
99 167.364 9.77567 1200.0 1.0 -4.138801315269155 0.31620919746195486
100 185.272949 61.087185 1200.0 1.0 -4.140950891624323 0.2999352194814862
