ID RA DEC LST1_start LST1_stop LST2_start LST2_stop Nvis Exptime Prob(Norm) Contour
1 200.213000 43.965420 39.323407 40.880699 33.814367 35.371660 1 1200 0.031557 77.7
2 193.579000 27.067680 38.940440 40.198446 33.612087 34.870093 1 1200 0.020285 85.8
3 186.252045 28.558516 38.472684 39.748206 33.085400 34.360922 1 1200 0.017203 86.8
4 268.951874 62.612106 42.193823 20.636817 39.223432 41.666427 1 1200 0.016927 59.5
5 104.393555 46.403015 32.860467 34.485860 27.433281 29.058673 1 1200 0.016600 70.7
6 195.233734 27.790779 39.061263 40.327514 33.703651 34.969901 1 1200 0.016506 85.5
7 257.043000 63.631020 41.110779 43.642138 38.630262 41.161621 1 1200 0.016433 77.5
8 268.174000 29.838660 43.948323 21.239996 38.516537 39.808211 1 1200 0.014554 80.9
9 93.132469 6.696763 31.458985 32.586700 27.830963 28.958678 1 1200 0.014224 88.3
10 266.697083 59.245708 42.684311 20.880691 38.678920 40.875300 1 1200 0.013560 8.2
11 273.140503 21.426077 20.126127 21.329361 39.089373 40.292607 1 1200 0.013494 66.3
12 248.788391 46.213890 42.492732 20.113115 37.058671 38.679054 1 1200 0.012903 85.7
13 261.861603 58.516628 42.466603 20.615835 38.299045 40.448278 1 1200 0.012744 68.5
14 181.662155 28.174242 38.161737 39.432572 32.789048 34.059883 1 1200 0.012699 89.7
15 237.770721 67.158707 38.466238 41.236525 -99.000000 -99.000000 1 1200 0.012071 77.1
16 107.795021 50.174694 32.919391 34.670444 27.702225 29.453278 1 1200 0.011829 71.3
17 266.141083 48.114086 43.575554 21.255090 38.230387 39.909924 1 1200 0.011826 60.4
18 193.729858 27.412653 38.955874 40.217960 33.612688 34.874773 1 1200 0.011686 85.8
19 183.372177 50.741467 37.926267 39.698568 32.751056 34.523357 1 1200 0.011527 83.7
20 269.715790 34.005867 20.073422 21.425082 38.537024 39.888683 1 1200 0.011153 37.0
21 266.236115 55.704632 43.076969 21.068906 38.429243 40.421180 1 1200 0.011032 25.3
22 106.425102 50.581104 32.805662 34.571836 27.618177 29.384352 1 1200 0.010905 69.4
23 191.980347 27.222490 38.836376 40.096254 33.501126 34.761004 1 1200 0.010791 85.8
24 111.250084 49.492313 33.185209 34.911671 27.921673 29.648135 1 1200 0.010601 76.6
25 242.795868 61.267929 40.746911 43.084405 37.288377 39.625871 1 1200 0.010592 77.5
26 195.278168 39.841393 39.075505 40.535275 33.501814 34.961584 1 1200 0.010551 78.2
27 104.073090 45.492859 32.869531 34.468661 27.407751 29.006881 1 1200 0.010380 71.4
28 239.377000 70.689040 38.733354 41.183580 -99.000000 -99.000000 1 1200 0.010339 75.9
29 183.062103 56.177395 37.485950 39.502035 32.906246 34.922331 1 1200 0.010314 87.4
30 200.793777 43.086334 39.384041 40.918667 33.853837 35.388462 1 1200 0.010168 77.8
31 228.593262 50.329609 40.963748 42.720817 35.758285 37.515353 1 1200 0.010145 88.8
32 116.870926 60.933582 32.417810 34.729861 28.852929 31.164980 1 1200 0.010129 74.5
33 269.318054 64.938057 41.396725 20.051732 39.857341 42.512349 1 1200 0.010062 66.9
34 109.827621 51.292465 32.991627 34.784672 27.859011 29.652055 1 1200 0.009941 73.9
35 258.845459 57.411247 42.402833 20.486980 38.025748 40.109895 1 1200 0.009914 84.4
36 242.685000 57.462300 41.319988 43.406807 36.951193 39.038012 1 1200 0.009895 81.9
37 192.747986 47.671421 38.701445 40.366587 33.333144 34.998287 1 1200 0.009893 78.4
38 273.003000 21.465070 20.118364 21.322034 39.078366 40.282036 1 1200 0.009703 66.3
